"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"236907_at",1.58365441160149,9.83777176936884,7.418141841689,2.2214471919515e-08,3.25798187187734e-06,9.27527395269173
"228390_at",1.18131686992532,6.4258729985891,7.39143753973015,2.38977302654918e-08,3.46580478054579e-06,9.20452073864539
"1558740_s_at",1.25712049019824,6.49893934021109,7.36368553853517,2.57844996813014e-08,3.61478851301321e-06,9.13090230677152
"241824_at",2.12728011937156,6.06014643593382,7.34535566591956,2.71129447752302e-08,3.72462375775305e-06,9.0822285644915
"210517_s_at",1.36674686385644,4.81303537010304,7.33064873599103,2.82289055192192e-08,3.82981491132335e-06,9.04314690293224
"235009_at",3.17580530794548,4.91796637064149,7.3032900055984,3.04304646736987e-08,4.00843005980318e-06,8.97037788931818
"217572_at",1.09229079420294,5.50831416135624,7.29849319728811,3.08340515096453e-08,4.03313819686568e-06,8.95761036111741
"244172_at",1.23686060012546,5.44626460009579,7.29705393570152,3.09562020388184e-08,4.03945190088878e-06,8.95377900135023
"243968_x_at",1.68077905882998,7.01374467951203,7.27920821214866,3.25121980013104e-08,4.20237452889278e-06,8.90625329709124
"230245_s_at",2.06749856962208,7.85027690494676,7.26776587946903,3.35513964766744e-08,4.28603411766862e-06,8.87576148446566
"204848_x_at",2.62454163702102,8.86264252980692,7.25074123591971,3.51603093827076e-08,4.40915118233839e-06,8.8303660709797
"235982_at",2.0532935609341,6.12261953958673,7.21203070429534,3.9116260143802e-08,4.78452242362947e-06,8.72702363076717
"239759_at",1.23283730924257,4.83730400270468,7.14359284743338,4.72489749022501e-08,5.47543202659251e-06,8.54390877117089
"223940_x_at",2.63709097038369,8.32504884434569,7.10760586627159,5.21934426886426e-08,5.92049062033513e-06,8.44741273740089
"231418_at",1.48703568063683,6.51050324968055,7.10321502215372,5.28316028142601e-08,5.9541502079002e-06,8.43562936457069
"242904_x_at",1.55719579868692,5.61393402803609,7.09231281233511,5.44505351247364e-08,6.07567960805094e-06,8.4063628689079
"205466_s_at",1.44071586349315,4.2712536785453,7.08304149460438,5.58668060015768e-08,6.15905380452244e-06,8.38146428525978
"213674_x_at",2.29180413242869,7.63376013616513,6.98590916576805,7.31506015111339e-08,7.51787431883693e-06,8.12005749022838
"206478_at",1.21581505225036,6.03044741277104,6.96688843890853,7.71241914493184e-08,7.82432047070257e-06,8.06875159134924
"1558739_at",1.55136130537355,5.46248521690296,6.96041014565153,7.85269161031399e-08,7.93615367456409e-06,8.05126867259373
"212382_at",1.05238342209885,6.08976587790158,6.94906324946393,8.10464027123117e-08,8.07142453241465e-06,8.02063643977773
"232182_at",1.06186141152773,4.05052905430327,6.93233860916075,8.49100900155228e-08,8.39504370994342e-06,7.9754622200326
"204419_x_at",2.72554880010213,8.34917762207088,6.91961880596268,8.79730776235221e-08,8.53256168815614e-06,7.94108612879185
"230983_at",1.24622868111238,6.96072461536488,6.90321912812528,9.20879983727192e-08,8.74116547053546e-06,7.8967406468379
"1569302_at",1.16514307504549,4.94759027471593,6.89985807695246,9.29551168310985e-08,8.77775649868792e-06,7.88764884654117
"239851_at",1.16372949859606,5.81612922600566,6.8595541649516,1.04020547874173e-07,9.62322073607518e-06,7.77853649257824
"242104_at",1.19497139733186,6.1911773268651,6.8345888276444,1.11534673517718e-07,1.01298310208991e-05,7.71086828598518
"227646_at",1.65787276715338,5.5925081784804,6.81504100053213,1.17800102761278e-07,1.0570052159248e-05,7.6578414137567
"266_s_at",1.81411490549642,5.73640068622339,6.81060183488844,1.19271887328756e-07,1.06447535864574e-05,7.64579421284879
"1554178_a_at",1.11481405867685,6.32381467352263,6.81038023769272,1.1934584267944e-07,1.06447535864574e-05,7.64519278254044
"220059_at",1.44185564924816,7.18080375759468,6.8020606597112,1.22156242954328e-07,1.07724073927869e-05,7.62260941855374
"242429_at",1.07923474819822,4.93989932758788,6.78779662289197,1.27131520026075e-07,1.10859902032307e-05,7.58387434366323
"AFFX-BioC-3_at",1.34834570641455,9.26597181679157,6.77209899792818,1.32844299503168e-07,1.13666073166443e-05,7.54122365190286
"204581_at",1.40212260459849,6.87488739416029,6.7592660591256,1.37707103992893e-07,1.16912048304525e-05,7.50633888214744
"244357_at",1.58764953754134,6.72275200719306,6.74738016028053,1.42371636693013e-07,1.19940974363489e-05,7.47401459147039
"230256_at",1.17732858613006,5.7536011126269,6.73919500897382,1.45676496503937e-07,1.22348117455495e-05,7.45174691767945
"212384_at",1.22355162419434,5.50023817206485,6.73500271362268,1.47399140408346e-07,1.23227033667069e-05,7.44033935574063
"219437_s_at",1.79348421266715,6.19443320908643,6.73183586266946,1.48714074665328e-07,1.23617900418517e-05,7.43172101565232
"235739_at",1.66872366171892,7.78133084049835,6.72296761055467,1.52459836918756e-07,1.25795811480452e-05,7.40758176468747
"212027_at",1.80637330449616,7.41648592397586,6.71594811314217,1.55492298318805e-07,1.2765077193064e-05,7.38846960086377
"226675_s_at",1.28309509972236,8.47998434618879,6.71283639789193,1.56856027427099e-07,1.28384779933782e-05,7.37999579069511
"224568_x_at",2.52678354688213,7.85753696945684,6.71132019767085,1.57524889601679e-07,1.28547363268235e-05,7.37586655526683
"205592_at",1.97525238987497,6.73227733643582,6.70157316249143,1.61894173804934e-07,1.30940295159538e-05,7.34931630252815
"236244_at",1.08259775467699,7.35844257298183,6.68418495229128,1.6999551569182e-07,1.35291190981809e-05,7.30193030659659
"216379_x_at",1.85681538318411,7.14922737973697,6.6828069026232,1.70654839827173e-07,1.35369813887103e-05,7.29817368977425
"206693_at",1.32665596639387,4.10959944522973,6.64986278315696,1.87210689348234e-07,1.43962650353231e-05,7.20831544638614
"235425_at",1.07530267256778,4.54489226449232,6.63741379876877,1.93881768613129e-07,1.47228968040595e-05,7.17433422644857
"218859_s_at",1.19760598817429,6.78799713161167,6.63581724090392,1.94754537803693e-07,1.47686606857377e-05,7.16997520137091
"211506_s_at",1.7895756080214,5.19429521673988,6.62871251783114,1.98686813980749e-07,1.49630875404923e-05,7.15057468249394
"236796_at",1.34366955391621,8.26832393998082,6.53568026937743,2.5823982411577e-07,1.77155111462104e-05,6.89613017417185
"AFFX-BioC-5_at",1.22767190275904,8.90931313969703,6.51856562300364,2.71021146626173e-07,1.84534012351009e-05,6.84924113356528
"215621_s_at",1.54574789449869,7.05438763205059,6.49726367362771,2.87826587836643e-07,1.93328239434502e-05,6.79084623766221
"220072_at",1.09721266362734,6.2260075157569,6.49563220779942,2.89156287817405e-07,1.93745343583537e-05,6.78637237488649
"217979_at",1.12094252197653,7.60589333441491,6.49403603549507,2.90463228692523e-07,1.94382827769446e-05,6.7819950848802
"202859_x_at",2.37440002539254,6.21665182356961,6.46789556567726,3.12736556795861e-07,2.04531952665236e-05,6.71027891432221
"1558702_at",1.50598319600488,4.39620633886637,6.44110152557214,3.37359780015179e-07,2.16803048316037e-05,6.63671285107133
"209583_s_at",1.66609269621117,5.9514747614861,6.41627412670722,3.61921382671113e-07,2.29028374971563e-05,6.56849599808295
"205671_s_at",1.1991471902946,7.26800787899476,6.3781519816369,4.03199056715681e-07,2.48253473264976e-05,6.46365753300418
"230180_at",2.29499552859345,7.18097334148674,6.36076714472824,4.23570621326768e-07,2.56748600011541e-05,6.41581165811404
"207802_at",1.00686284211237,3.02296358702944,6.3277511150296,4.65164376928653e-07,2.74949862795396e-05,6.32488488625441
"222915_s_at",1.25580606965448,6.85197497234549,6.31310903779639,4.84907519892354e-07,2.82647320363693e-05,6.28453505882844
"223217_s_at",1.36883553318212,9.00607534535334,6.29693671953923,5.07698620723955e-07,2.91580063950444e-05,6.23995055208924
"205801_s_at",1.01510844643883,6.03722563150642,6.29325282159278,5.13039598759141e-07,2.9359904789854e-05,6.22979205576395
"219878_s_at",1.48177235164268,7.04238197012605,6.29071133251137,5.16757305689629e-07,2.9461632626257e-05,6.2227832441032
"235008_at",1.40374984141875,5.645572174187,6.28843145958644,5.20115442541593e-07,2.95489519030993e-05,6.21649552282336
"1563321_s_at",1.2014231849547,6.32142132316644,6.27114316664409,5.46307240903427e-07,3.06666821318223e-05,6.16880395636033
"234701_at",1.0633819280792,5.27481961350101,6.26568856049327,5.54844075703943e-07,3.09552039174623e-05,6.15375258474647
"1559129_a_at",1.04995827418152,4.45031983326846,6.26208267015558,5.60561306124993e-07,3.12013295502616e-05,6.14380142085306
"231688_at",1.06912557274974,3.49254502598292,6.26141182019262,5.61631494181746e-07,3.12065060410436e-05,6.14194998071918
"1558002_at",2.15356878132007,4.86946683234281,6.25834716449969,5.66546727633962e-07,3.13521683536304e-05,6.13349162535729
"208651_x_at",1.48345682973284,6.6509928570928,6.25449993739822,5.72778562309239e-07,3.16649827040016e-05,6.12287249597647
"241279_at",1.00174070290304,5.04585890614728,6.24615376475978,5.86536665734366e-07,3.22624670010326e-05,6.09983192977273
"203939_at",1.23792393860252,6.17385660120908,6.22905048663712,6.15780766075797e-07,3.34006085170578e-05,6.05260182585154
"241849_at",1.11471073435032,5.90076598029708,6.18575250098049,6.96561196242595e-07,3.65845181600037e-05,5.93295048450992
"225081_s_at",1.04266291801879,6.67601740283006,6.15763221550002,7.54668171954204e-07,3.87068314273885e-05,5.85517808224898
"240861_at",1.13576802100516,4.64214988595647,6.15711925039475,7.55772349735127e-07,3.87271351656683e-05,5.85375891795711
"208859_s_at",1.7857525206509,6.4093667512604,6.15436173976415,7.61735968074231e-07,3.89232841630454e-05,5.84612973992152
"1558747_at",1.90239670353786,7.09774975798743,6.14470190237415,7.83003772577597e-07,3.9602896638002e-05,5.81940030965873
"244869_at",1.08749352957861,6.14267581113776,6.12038739894696,8.39224154402458e-07,4.15621201466978e-05,5.7520956107238
"215224_at",1.03455413022254,4.63691773322612,6.10262067767234,8.828618042531e-07,4.30986331674448e-05,5.70289373917544
"222285_at",1.48795633378425,6.28706708770323,6.09936761165392,8.91096065088585e-07,4.33457983618491e-05,5.69388295569871
"232311_at",1.44291426108917,6.73971812135918,6.09513809967983,9.01917759419261e-07,4.36006662212627e-05,5.68216657349439
"1556416_s_at",2.30579597040688,5.50760263254587,6.09357094027951,9.05961055063577e-07,4.36948444997843e-05,5.67782504783053
"243934_at",1.26738319693469,5.86489132762598,6.07516111980179,9.54848565890383e-07,4.54759105749623e-05,5.62681365021718
"231274_s_at",1.27098097457554,8.35143866094321,6.06937062710459,9.70768201903706e-07,4.59937187513736e-05,5.61076497463603
"222439_s_at",1.38482471822999,6.87168360446713,6.05490460653412,1.01171754758933e-06,4.74812505703402e-05,5.57066352824986
"209088_s_at",1.13748230506576,7.18007008468309,6.05287519044856,1.01759980109903e-06,4.75776820515343e-05,5.56503684535615
"238013_at",1.22868777146457,6.86499536470906,6.05269517436656,1.01812323731678e-06,4.75776820515343e-05,5.56453772876666
"228377_at",1.40946238935104,5.29286551025729,6.04419011975956,1.04316512267263e-06,4.85404707081923e-05,5.54095443733899
"236462_at",1.96311485283471,5.16985305118694,6.04255739250444,1.04804296441899e-06,4.86246211314464e-05,5.53642667637583
"1556451_at",1.16866328661951,6.63160853156849,6.02395198338481,1.10527670043187e-06,5.05273995976597e-05,5.48482154467506
"222633_at",1.37758570715244,7.80163535135537,6.02366094243134,1.10619656732325e-06,5.05273995976597e-05,5.48401415109748
"209257_s_at",1.06582514601565,7.27622349361809,6.01154033828782,1.14519751585389e-06,5.18754549952871e-05,5.45038579500594
"212794_s_at",1.51666945850772,8.80530612741838,6.00375001088952,1.17099279272394e-06,5.26513412353465e-05,5.42876773032412
"224875_at",1.23759784232568,6.38558435703857,5.99752399478731,1.19202835331909e-06,5.32903926555367e-05,5.4114884056867
"222667_s_at",1.01408580710285,8.71284879395296,5.97600282574938,1.26771558032535e-06,5.58350215890524e-05,5.35174497037766
"212177_at",1.04983031844429,7.64062298749343,5.97193365461553,1.28256119616948e-06,5.62793205462009e-05,5.34044627953798
"229982_at",1.5735239023665,7.42801108649895,5.96146567959448,1.32156084552652e-06,5.77127310137083e-05,5.3113766563405
"1563674_at",1.43033868852191,6.67558714909477,5.96055635350823,1.32500448215029e-06,5.77708293951892e-05,5.30885120663226
"213850_s_at",1.17740902126996,8.90184890383775,5.95523684825596,1.34533128656524e-06,5.8427290560934e-05,5.29407668946053
